user,text,tag
에머슨,인생은 하나의 실험이다. 실험이 많아질수록 당신은 더 좋은 사람이 된다.,"['인생', '경험']"
파스칼,"인생은 우주의 영광이요, 또한 우주의 모욕이다.",['인생']
W. NL. 영안,"인생은 반복된 생활이다. 좋은 일을 반복하면 좋은 인생을, 나쁜 일을 반복하면 불행한 인생을 보내는 것이다.","['인생', '생활', '반복', '습관']"
파스칼,인생의 최고 불행은 인간이면서 인간을 모르는 것이다.,"['인생', '불행', '인간']"
헉슬리,인생의 위대한 목표는 지식이 아니라 행동이다.,"['인생', '지식', '행동']"
루소,삶은 호흡하는 것이 아니라 행위를 하는 것이다.,"['삶', '인생', '행동']"
모리악,우리의 인생은 우리가 노력한 만큼 가치가 있다.,"['인생', '노력']"
장 파울,"인생은 한 권의 책과 같다. 어리석은 이는 그것을 마구 넘겨 버리지만, 현명한 인간은 열심히 읽는다. 단 한 번밖에 인생을 읽지 못한다는 것을 알고 있기 때문이다.","['인생', '책(book)']"
칸트,인생은 선을 실행하기 위하여 만들어졌다.,"['인생', '선(good)']"
한용운,종이라고 하는 것은 치면 소리가 난다. 쳐도 소리가 나지 않는 것은 세상에서 버린 종이다. 또 거울이란 비추면 그림자가 나타난다. 비추어도 그림자가 나타나지 않는 것은 세상에서 내다버린 거울이다. 보통 사람이란 사랑하면 따라온다. 사랑해도 따라오지 않는 사람은 또한 세상에서 버린 사람이다.,"['인생', '사람', '사랑']"
바이런,"오, 사랑이여! 그대는 바로 악의 신이로다. 하긴 우리들은 그대를 악마라고는 부르지 못 하니까.","['사랑', '신(god)']"
P. 부르제,애정의 수단으로 행복해지는 유일한 길이 있다. 즉 아무도 사랑하지 않는 것이다.,"['행복', '사랑']"
J. 레이,사랑은 왕궁에서뿐 아니라 오두막집에서도 산다.,['사랑']
L. 모리스,"사랑하며 가난한 것이, 애정 없는 부유함보다 훨씬 낫다.","['사랑', '가난', '부유']"
B. 러셀,"사랑이란 뿌리는, 땅 속 깊숙이 박았지만 가지는 하늘로 치뻗은 나무이어야 한다.",['사랑']
셰익스피어,사랑은 너무 어려 양심이 무엇인지 모른다. 그러나 양심이 사랑에서 태어나는 것을 누가 모르는가?,"['사랑', '양심']"
오비디우스,"사랑은 일에 굴복한다. 만일 사랑으로부터 빠져 나오기를 원한다면, 바쁘게 되라. 그러면 안전할 것이다.","['사랑', '일(work)']"
나폴레옹,사랑에 대한 유일한 승리는 탈출이다.,['사랑']
논어,벗이 먼곳으로부터 찾아오니 이 얼마나 즐거운가.,"['친구', '벗']"
채근담,벗을 사귐에는 과하여 넘치지 말지니 넘치면 아첨하는 자가 생기리라.,"['친구', '벗']"
터키 속담,그 사람됨을 알고자 하면 그의 친구가 누구인가를 알아보라.,"['사람평가', '친구']"
슈베르트,벗이 애꾸눈이라면 나는 벗을 옆얼굴로 바라본다.,"['친구', '벗']"
라 로쉐호크,우정을 위한 최대의 노력은 벗에게 그의 결점을 스스로 깨닫게 하는 일이다.,"['우정', '친구']"
탈무드,설사 친구가 꿀처럼 달더라도 그것을 전부 빨아 먹지 말라.,"['친구', '우정']"
명심보감,"물이 너무 맑으면 물고기가 없고, 사람이 너무 살피면 친구가 없다.","['사람', '인생살이', '친구']"
명심보감,"열매 맺지 않는 과일 나무는 심을 필요가 없고, 의리 없는 벗은 사귈 필요가 없다.","['친구', '벗', '의리']"
공자,"이로운 친구는 직언을 꺼리지 않고 언행에 거짓이 없으며, 지식을 앞세우지 않는 벗이니라. 해로운 친구는 허식이 많고 속이 비었으며 외모치레만 하고 마음이 컴컴하며, 말이 많은 자이니라.",['친구']
속담,형제는 하늘이 내려주신 벗이다.,['형제']
스웨덴 속담,"기쁨을 나누면 두배가 되고, 슬픔을 나누면 절반이 된다.","['슬픔', '기쁨']"
채근담,"아들이 태어날 때 어머니가 위태롭고, 전대에 돈이 쌓이면 도둑이 엿보나니 어느 기쁨이 근심 아니랴. 가난은 가히 써 절약할 것이요, 병은 가히 써 몸을 보전할 것이니 어느 근심이 기쁨 아니랴. 그러므로 달인은 마땅히 순과 역을 같이 보며 기쁨과 슬픔을 둘 다 잊는다.","['인생살이', '달인']"
O. 펠덤,우리는 남의 기쁨에서 우리 자신의 슬픔을 뽑아오고 남의 슬픔에서 우리의 기쁨을 얻어 온다.,"['기쁨', '슬픔', '인간심리']"
어네스트 다우슨,"웃음도 눈물도 그렇게 오래 가는 것은 아니다. 사랑도 욕망도 미움도 한 번 스치고 지나가면, 마음 속에 아무런 힘을 미치지 못하는 것이라고 나는 생각한다.","['인생살이', '웃음', '눈물', '사랑', '욕망']"
앙드레 모루아,조급히 굴지 말아라. 행운이나 명성도 일순간에 생기고 일순간에 사라진다. 그대 앞에 놓인 장애물을 달게 받아라. 싸워 이겨 나가는 데서 기쁨을 느껴라.,"['조급함', '행운', '명성', '인생살이']"
예기,인생의 낙은 과욕에서보다 절욕에서 찾아야 한다. 올바른 마음을 가지고 욕심을 제어하면 그 속에 절로 낙이 있으며 봉변을 면하게 되리라. 허욕을 버리면 심신이 상쾌해진다.,"['인생', '즐거움', '욕심']"
실러,"우리가 두려워하는 공포는 종종 허깨비이지만, 그럼에도 불구하고 실제 고통을 초래한다.","['공포', '고통']"
F. 톰프슨,"애인이여, 나는 그대를 사랑하기 두려우니 사랑은 상실의 사자이기 때문이다.","['사랑', '애인']"
